Index,X,Y,Z,Stem X,Stem Y,Stem Z,Radius,Parent
,,,,,,,,
panda_link3.004,,,,,,,,
CLIP,-10.251564905047417,43.249715119600296,30.390463769435883,,,,0.1,/panda/panda_link3/geometry/panda_link3
1,21.972153335809708,108.51434618234634,36.27586364746094,26.45406499505043,99.48904812335968,34.709662199020386,0.023699453100562096,/panda/panda_link3/geometry/panda_link3
2,-37.06338629126549,56.853074580430984,-48.817042261362076,-35.791005939245224,45.609693974256516,-50.21478980779648,0.026495831087231636,/panda/panda_link3/geometry/panda_link3
3,55.53729087114334,72.84871488809586,-37.69458830356598,55.61482533812523,70.82822173833847,-27.643736451864243,0.023825753480196,/panda/panda_link3/geometry/panda_link3
4,105.05396127700806,94.62783485651016,27.98962965607643,97.53431379795074,87.77925372123718,27.249008417129517,0.023699453100562096,/panda/panda_link3/geometry/panda_link3
CLIP,-41.78562015295029,33.47428888082504,0.5165114998817444,,,,0.1,/panda/panda_link3/geometry/panda_link3
,,,,,,,,
panda_link4.004,,,,,,,,
CLIP,-79.23829555511475,-31.846225261688232,-80.10010421276093,,,,0.1,/panda/panda_link4/geometry/panda_link4
5,-97.72927314043045,-34.79551896452904,-42.63141006231308,-88.73414993286133,-29.03500199317932,-41.17162153124809,0.02288443222641945,/panda/panda_link4/geometry/panda_link4
6,-94.05195713043213,41.23280942440033,-37.628721445798874,-85.67064255475998,34.622207283973694,-36.11866757273674,0.02288443222641945,/panda/panda_link4/geometry/panda_link4
7,6.188405677676201,-116.69033020734787,-120.33621966838837,9.897028096020222,-109.22221839427948,-119.04028058052063,0.01791204698383808,/panda/panda_link4/geometry/panda_link4
8,32.180339097976685,-111.84970289468765,-66.80219620466232,33.19496288895607,-105.36008328199387,-72.09949195384979,0.01791204698383808,/panda/panda_link4/geometry/panda_link4
9,69.78786736726761,-119.65732276439667,-116.71803891658783,66.5956512093544,-111.3898977637291,-115.88472127914429,0.018894942477345467,/panda/panda_link4/geometry/panda_link4
CLIP,-61.229679733514786,-44.22047361731529,-81.46082609891891,,,,0.1,/panda/panda_link4/geometry/panda_link4
,,,,,,,,
panda_link5.002,,,,,,,,
CLIP,15.209604986011982,145.20826935768127,40.12217000126839,,,,0.1,/panda/panda_link5/geometry/panda_link5
10,-15.5657222494483,103.10369729995728,67.55194813013077,-12.670043855905533,99.90554302930832,52.102506160736084,0.030512696132063866,/panda/panda_link5/geometry/panda_link5
11,-6.5791006200015545,-23.7069483846426,68.94049048423767,-5.566919222474098,-23.435596376657486,54.08363416790962,0.02833130955696106,/panda/panda_link5/geometry/panda_link5
12,-2.16077221557498,-140.55800437927246,52.771542221307755,-1.7497799126431346,-129.45769727230072,42.849935591220856,0.02833130955696106,/panda/panda_link5/geometry/panda_link5
CLIP,24.914944544434547,144.8652148246765,37.19165176153183,,,,0.1,/panda/panda_link5/geometry/panda_link5
